state (User order)	H3K4me1	H3K27ac	ATAC	H3K4me3	H3K27me3	H4K20me3	H3K9me3	H3K36me3
1	0.0022854167192136138	7.375806119607205E-5	0.0014277014936845147	2.684522751107563E-4	0.022087185368266454	0.7280569400788484	0.9306422467295443	0.007114618767806423
2	7.237798146706075E-4	5.4584888583301325E-5	9.97334603148082E-4	5.197594585548686E-6	0.007391261948210507	0.038692340335124434	0.287641988097412	0.0017900711648354856
3	0.027540998585074455	0.0022385026892937704	0.005024055065600215	0.014003981743412792	0.9349859885774509	0.648307836566101	0.7158632369650964	0.026069907323943122
4	0.014446693317938637	0.0010293816734112612	0.0076335652122672334	4.2217858055116874E-5	0.7017868868970627	0.040396559116517565	0.03726766893517842	0.0021150592996599478
5	0.07271336179798259	0.03694190324092589	0.009839984836119012	0.008866652584289847	0.013519937691870564	0.7049393894601029	0.7750246120521165	0.693818705133816
6	0.8401210725191546	0.8917560570093371	0.327711143844897	0.010812419688551672	0.00258654747395563	0.0252423620311912	0.013934760685982673	0.1630308769966413
7	0.6444269202194002	0.08447444466815987	0.15373511439628476	0.0014682791543298493	0.013089201255994025	0.011015717590397338	0.008804552885395707	0.0690843299689711
8	0.6095286280946676	0.7203294537533786	0.5281446460755516	0.9858080379553832	0.11898262179978535	0.08631869577900354	0.020156838893811983	0.09648603090868528
9	0.10154723481817618	0.0142866403978923	0.007432065566824337	3.730333918762654E-4	4.07570404927074E-4	0.004442870156394197	0.004216270233308637	0.7604602963028423
10	0.0027312491715291085	5.598739340344459E-4	0.0015816075187344283	1.925789993795402E-5	0.009528071137998063	0.0025586663861858444	0.00526981679871975	0.00873827250886363
